pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
43,13,13.37209302,0,302.5116279,2170,50.46511628,13008,302.5116279,0,1145,4671,48,910,1264,107,783,145,443,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,0
42,16,11.19047619,0,280.7380952,2067,49.21428571,11791,280.7380952,0,907,3829,45,1252,928,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.825,0,307.225,2082,52.05,12289,307.225,0,1076,4314,44,887,1210,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.27906977,0,301.3953488,2170,50.46511628,12960,301.3953488,0,1140,4650,48,910,1249,107,783,145,441,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,1
42,16,11.26190476,0,280.7619048,2067,49.21428571,11792,280.7619048,0,907,3829,45,1252,931,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.6,0,306.425,2082,52.05,12257,306.425,0,1074,4299,44,887,1192,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
41,12,13.51219512,0,305.2682927,2105,51.34146341,12516,305.2682927,0,1133,4452,45,861,1211,103,765,139,417,387,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,1
42,16,10.45238095,0,244.5952381,1788,42.57142857,10276,263.4871795,0,813,3515,42,878,853,97,702,126,284,336,79,117,79,0.04321663,0.064004376,0.04321663,6,23,36,2,4,0,7,4,11,6,13,0.086956522,0,0.152173913,0.086956522,0.239130435,0.130434783,0.282608696,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.55,0,306.125,2082,52.05,12245,306.125,0,1074,4299,44,887,1190,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
41,12,13.41463415,0,304.7804878,2105,51.34146341,12496,304.7804878,0,1130,4447,45,861,1204,103,765,139,417,381,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,1
41,16,11.6097561,0,268.2195122,1924,46.92682927,10997,268.2195122,0,848,3675,44,982,929,101,733,132,335,385,87,127,87,0.044050633,0.064303797,0.044050633,9,58,54,1.8,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,392,222,26,24,118,0,124,87,0,8,1
32,11,12.53125,0,283.59375,1513,47.28125,9077,302.5666667,0,708,3117,33,751,777,81,666,123,240,324,61,87,61,0.041695147,0.059466849,0.041695147,3,4,18,1.5,5,0,7,5,11,7,13,0.135135135,0,0.189189189,0.135135135,0.297297297,0.189189189,0.351351351,138,395,222,26,27,118,0,124,88,0,8,1
40,12,13.325,0,305.25,2082,52.05,12210,305.25,0,1073,4288,44,887,1171,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
42,12,13.66666667,0,306.4761905,2177,51.83333333,12872,306.4761905,0,1169,4551,46,878,1256,105,776,142,440,425,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,123,88,0,8,1
40,13,13.175,0,293.25,1990,49.75,11730,293.25,0,1057,4196,44,789,1123,100,737,138,394,330,65,101,65,0.033539732,0.052115583,0.033539732,4,5,24,1.333333333,2,0,2,2,6,4,8,0.047619048,0,0.047619048,0.047619048,0.142857143,0.095238095,0.19047619,138,395,222,26,27,118,0,123,88,0,8,1
43,17,11.53488372,0,269.9767442,2024,47.06976744,11609,269.9767442,0,878,3919,47,1048,980,105,761,138,372,412,94,136,94,0.045148895,0.065321806,0.045148895,11,60,66,1.833333333,4,0,4,4,8,6,10,0.085106383,0,0.085106383,0.085106383,0.170212766,0.127659574,0.212765957,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.35,0,305.4,2082,52.05,12216,305.4,0,1074,4291,44,887,1175,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
43,12,13.48837209,0,303.627907,2223,51.69767442,13056,303.627907,0,1179,4591,47,888,1273,111,780,145,455,447,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,1
44,17,12.02272727,0,286.8636364,2162,49.13636364,12622,286.8636364,0,950,4272,48,1188,1061,107,869,145,400,444,101,144,101,0.045352492,0.064660979,0.045352492,14,79,84,2,3,0,3,3,7,5,9,0.063829787,0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.8119996517763,0,307.08199616954,2082,52.05,12283,307.08199616954,0,1078,4310,44,887,1204,101,768,140,382,382,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
42,12,13.3778588976263,0,302.574552621976,2168,50.4832871265876,13000,302.574552621976,0,1144,4666,47,909,1263,106,782,144,442,399,70,111,70,0.0328606909067117,0.052066207379396,0.0328606909067117,5,6,30,1.25,2,0,2,2,6,4,8,0.0644696672447783,0,0.0644696672447783,0.0644696672447783,0.15157573399353,0.108022700619154,0.195128767367905,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.6058886250782,0,303.840571321012,2169,50.4528112503816,13065,303.840571321012,0,1147,4700,48,916,1290,107,783,145,440,399,70,111,70,0.032825772688184,0.0520522962013176,0.032825772688184,5,6,30,1.25,1,0,1,1,5,3,7,0.0307098022345585,0,0.0307098022345585,0.0307098022345585,0.120876332467199,0.0757930673508787,0.165959597583519,138,395,222,26,27,118,0,123,88,0,8,0
43,16,11.4759418008454,0,269.800967659004,2069,47.7074417162152,11690,269.800967659004,0,887,3813,46,1180,969,107,807,138,363,418,94,137,94,0.0443680008086431,0.0642961695797693,0.0443680008086431,12,77,72,1.91536101849278,2,0,2,2,6,4,8,0.0611968319245443,0,0.0611968319245443,0.0611968319245443,0.147605274639205,0.104401053485638,0.190809496200299,138,392,222,26,24,118,0,123,87,0,8,0
36,14,12.5772358154417,0,245.027470559913,1523,43.0702370937873,8667,247.991491179425,0,642,3023,39,673,821,89,599,126,185,246,37,72,37,0.0242689069450015,0.0465622800478278,0.0242689069450015,2,7,17,1.07834790258076,0,0,0,0,4,2,6,0.0133358130518736,0,0.0200037197345061,0.0133358130518736,0.132501394861266,0.0695846507719492,0.188750232581342,138,393,221,26,26,117,0,120,87,0,8,0
41,15,11.9918714557878,0,287.275815372378,2070,49.8590756675711,11925,287.275815372378,0,946,3943,44,1169,1004,102,812,136,377,418,96,136,96,0.0452627575104577,0.0641624991578212,0.0452627575104577,10,60,62,1.8294636134946,3,0,3,3,7,5,9,0.0671841872733898,0,0.0671841872733898,0.0671841872733898,0.157106558641549,0.112145373343778,0.202067744711937,138,392,222,26,24,118,0,123,87,0,8,0
42,16,11.45238095,0,281.286090433368,2067,49.21428571,11814,281.286090433368,0,908,3835,45,1252,943,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
42,12,13.4085949188362,0,302.890235908197,2162,50.6003121705053,12945,302.890235908197,0,1139,4640,47,908,1258,106,781,144,437,398,70,111,70,0.0331380273821943,0.0522389763371778,0.0331380273821943,5,6,30,1.25,2,0,2,2,6,4,8,0.059654129076485,0,0.059654129076485,0.059654129076485,0.147723303444127,0.103688716260306,0.191757890627948,138,395,222,26,27,118,0,123,88,0,8,0
41,15,11.4044881525744,0,220.557703291547,1622,40.4191082339877,8935,227.288719111341,0,658,3103,43,698,859,97,641,125,184,252,46,85,46,0.0278095095016333,0.0511327636703318,0.0278095095016333,4,15,24,1.17792081750281,1,0,2,1,6,3,8,0.0302843941202927,0,0.0454265915362807,0.0302843941202927,0.142034971737145,0.0785885845765664,0.190339162193419,138,390,221,26,24,116,0,120,87,0,8,0
42,16,11.2323339028562,0,280.844642111554,2067,49.21428571,11795,280.844642111554,0,907,3829,45,1252,930,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
35,13,14.0590309509395,0,275.208023331884,1667,46.5909059608295,9858,275.208023331884,0,821,3433,40,713,996,90,602,132,269,285,40,74,40,0.0235962264473209,0.0441547819300389,0.0235962264473209,3,3,20,1.11408794917133,0,0,0,0,4,2,5,0,0,0,0,0.113591205082867,0.0567956025414334,0.158978012707167,137,395,222,26,27,118,0,120,88,0,8,0
40,14,13.2747874424691,0,285.139407713197,1991,48.7051521419253,11654,285.139407713197,0,987,3925,45,991,1109,101,724,136,371,378,73,112,73,0.0357324961082098,0.0550853868806098,0.0357324961082098,8,37,48,1.582351367981,1,0,1,1,5,3,7,0.0385334920554264,0,0.0385334920554264,0.0385334920554264,0.132753467936918,0.0856434802177397,0.165941835031931,137,393,222,26,25,118,0,121,87,0,8,0
45,18,11.4621253983676,0,250.104205697338,2072,45.1673573325411,11467,250.104205697338,0,853,3774,49,1060,1009,114,778,145,344,401,82,127,82,0.0385490187824841,0.0596679914298046,0.0385490187824841,12,77,72,1.77268522984887,0,0,0,0,4,2,6,0.0177737657286824,0,0.0177737657286824,0.0177737657286824,0.103258313800392,0.0605160394689354,0.146000587540645,138,392,222,26,24,118,0,122,87,0,8,0
44,16,10.7590510331371,0,220.637872623872,1778,40.9311406258057,9738,227.949699495873,0,724,3314,45,837,900,103,705,127,227,296,64,105,64,0.0343314386696307,0.0573003876616878,0.0343314386696307,6,33,39,1.42017984387447,2,0,3,2,7,4,9,0.0526285935827818,0,0.0690773925355016,0.0526285935827818,0.154603583796817,0.0953916897134392,0.197366679927474,138,389,221,26,24,116,0,121,87,0,8,0
42,16,11.2634302167345,0,280.923796369596,2067,49.21428571,11798,280.923796369596,0,907,3830,45,1252,932,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
42,16,11.45238095,0,281.340293280691,2067,49.21428571,11816,281.340293280691,0,908,3835,45,1252,944,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
42,16,11.4576028863384,0,278.832941586393,2067,48.8803146043284,11790,278.832941586393,0,903,3830,45,1236,949,103,821,135,372,426,100,141,100,0.0470548903855268,0.0664332106593256,0.0470548903855268,12,77,72,1.98124094176074,3,0,3,3,7,5,9,0.0812472433940242,0,0.0812472433940242,0.0812472433940242,0.168082290431421,0.124664767347066,0.211499814384463,138,392,222,26,24,118,0,123,87,0,8,0
42,12,13.8256496500382,0,305.593582859743,2152,50.7499707502858,12963,305.593582859743,0,1136,4649,47,916,1294,105,780,144,427,395,71,111,71,0.0335496997767533,0.0525074113400523,0.0335496997767533,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.0943599600043611,0.0471799800021805,0.141539940006542,138,395,222,26,27,118,0,123,88,0,8,0
34,13,12.8497535630175,0,268.914674825039,1620,46.2987899686939,9395,268.914674825039,0,707,3205,38,822,830,88,639,129,239,294,50,84,50,0.0288981896484376,0.0497445513533836,0.0288981896484376,4,23,28,1.28155000358385,1,0,1,1,5,3,7,0.024482609080739,0,0.024482609080739,0.024482609080739,0.138771467431947,0.081627038397118,0.195915896748326,138,394,222,26,26,118,0,121,87,0,8,0
33,13,13.1989883586935,0,266.777502792631,1536,45.7528043197831,8950,266.777502792631,0,670,3089,37,741,814,85,604,128,213,269,41,73,41,0.0253547025256822,0.0465053051271004,0.0253547025256822,3,13,20,1.1470056851183,0,0,0,0,4,2,6,0.0127831030921148,0,0.0127831030921148,0.0127831030921148,0.132190495397436,0.0724867993182782,0.191894191623599,138,394,222,26,26,118,0,120,87,0,8,0
41,15,11.4840763687921,0,281.470816121264,2065,49.2054308240413,11816,281.470816121264,0,909,3836,45,1247,946,102,823,135,374,428,101,142,101,0.0476097457897045,0.0668337795468423,0.0476097457897045,11,76,71,1.99273622632794,3,0,3,3,7,5,9,0.0861143453398433,0,0.0861143453398433,0.0861143453398433,0.173197192845646,0.129655769587902,0.216496491304637,137,392,222,26,24,118,0,123,87,0,8,0
32,13,13.3457039281907,0,265.380708926441,1486,45.4273617186165,8679,265.380708926441,0,648,3018,36,693,801,84,584,127,198,254,35,67,35,0.0232425560457694,0.0445745058106647,0.0232425560457694,2,7,16,1.0668086083985,0,0,0,0,4,2,6,0.00580944422599316,0,0.00580944422599316,0.00580944422599316,0.128267812335366,0.0670386283140838,0.189496996423456,138,394,222,26,26,118,0,120,87,0,8,0
42,16,11.3077652787177,0,281.004661314793,2067,49.21428571,11802,281.004661314793,0,907,3831,45,1252,934,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
44,16,10.6739142976516,0,205.31403854733,1683,38.7675633259677,9101,214.39173839139,0,668,3152,45,713,883,103,666,125,184,256,52,93,52,0.0300151601632801,0.0539799881370089,0.0300151601632801,4,20,29,1.23995067320309,1,0,2,1,6,3,8,0.0408426673095589,0,0.0612640014442397,0.0408426673095589,0.147974000421615,0.0841976672781477,0.191329000390203,138,389,221,26,24,116,0,120,87,0,8,0
40,12,13.8009702855622,0,306.963494492717,2081,52.0212800904064,12284,306.963494492717,0,1074,4309,44,890,1207,101,768,139,383,383,76,113,76,0.036687530160058,0.054507456027572,0.036687530160058,5,6,30,1.2575959458508,0,0,0,0,4,2,6,0.000880689376648065,0,0.000880689376648065,0.000880689376648065,0.100748585963061,0.0508146376749187,0.150682534261332,138,394,222,26,26,118,0,123,87,0,8,0
41,12,13.819586537846,0,306.146011351148,2124,51.2619137642598,12694,306.146011351148,0,1112,4516,45,904,1260,103,775,142,410,390,73,112,73,0.0347405029290595,0.0532445138011544,0.0347405029290595,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.0965809708584907,0.0482904854292453,0.144871456287736,138,395,222,26,27,118,0,123,88,0,8,0
33,13,13.2130566844172,0,266.32590600453,1522,45.6604345493599,8871,266.32590600453,0,664,3068,37,728,808,85,599,127,209,265,39,72,39,0.0247552159042308,0.0459572899350108,0.0247552159042308,3,11,19,1.12424349744322,0,0,0,0,4,2,6,0.0108037824187785,0,0.0108037824187785,0.0108037824187785,0.131077127532911,0.0709404550379663,0.191213800152099,138,394,222,26,26,118,0,120,87,0,8,0
41,12,13.6688385754121,0,305.59983868818,2112,51.5035352501711,12536,305.59983868818,0,1099,4437,45,894,1228,103,773,141,404,388,73,112,73,0.0352785666813329,0.0535724422765557,0.0352785666813329,5,6,30,1.25,1,0,1,1,5,3,7,0.0224868265145068,0,0.0224868265145068,0.0224868265145068,0.117989461280565,0.070238143897536,0.165740778663594,138,395,222,26,27,118,0,123,88,0,8,0
41,15,11.812223166875,0,282.154684075488,2052,49.1137550366411,11787,282.154684075488,0,923,3852,45,1200,976,102,805,135,374,418,96,137,96,0.0454332464591839,0.0646808931919661,0.0454332464591839,11,69,67,1.91753343162375,3,0,3,3,7,5,9,0.077395180710301,0,0.077395180710301,0.077395180710301,0.165785902980725,0.121590542290535,0.207232378948417,137,392,222,26,24,118,0,123,87,0,8,0
41,15,11.500599170953,0,281.859479181726,2067,49.2725290174884,11825,281.859479181726,0,911,3843,44,1244,947,102,823,135,375,428,101,142,101,0.0475889810732971,0.0667816470721642,0.0475889810732971,11,75,71,1.9845955987984,3,0,3,3,7,5,9,0.0851705044640218,0,0.0851705044640218,0.0851705044640218,0.172394928108796,0.128782716776139,0.216007140420913,138,392,222,26,24,118,0,123,87,0,8,0
41,15,12.8723636547276,0,284.364049246361,2008,48.8175790125371,11693,284.364049246361,0,969,3904,45,1048,1072,101,746,136,372,389,79,119,79,0.0384016524422708,0.0577255853727715,0.0384016524422708,8,46,53,1.67457653571205,2,0,2,2,6,4,7,0.0492262651577719,0,0.0492262651577719,0.0492262651577719,0.141842324987835,0.0955342953558543,0.177302906376319,137,393,222,26,25,118,0,122,87,0,8,0
38,14,12.2032372689459,0,275.035145014571,1838,47.7262150870188,10582,275.035145014571,0,806,3515,41,1032,888,95,730,132,305,360,75,113,75,0.0381622839255905,0.0582132380982826,0.0381622839255905,8,49,49,1.63330272838304,2,0,2,2,6,4,8,0.0550698026333002,0,0.0550698026333002,0.0550698026333002,0.155976763585417,0.10552328342601,0.206430244378127,138,393,222,26,25,118,0,122,87,0,8,0
40,12,13.8043141571427,0,307.010398199998,2082,52.05,12280,307.010398199998,0,1080,4308,44,887,1199,101,768,140,381,382,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
42,16,11.45238095,0,281.404543965379,2067,49.21428571,11818,281.404543965379,0,908,3834,45,1252,943,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,14,13.5749064917932,0,285.777965846561,1979,48.6213065876755,11628,285.777965846561,0,1000,3939,45,948,1136,101,708,136,371,369,68,107,68,0.033741896432252,0.053116383343464,0.033741896432252,7,30,44,1.51357181143802,1,0,1,1,5,3,6,0.0305590506931872,0,0.0305590506931872,0.0305590506931872,0.125975192843209,0.0782671219439126,0.157468991141868,137,393,222,26,25,118,0,121,87,0,8,0
46,18,11.493473480786,0,246.569081488076,2073,44.7003453170064,11430,246.569081488076,0,847,3768,50,1038,1018,115,772,146,341,397,79,125,79,0.0374791588432385,0.0588170689880304,0.0374791588432385,12,77,72,1.74645330304721,0,0,0,0,4,2,6,0.00979013581655649,0,0.00979013581655649,0.00979013581655649,0.0951048194923744,0.052447477267052,0.13776216094287,138,392,222,26,24,118,0,122,87,0,8,0
42,16,11.4382021388644,0,281.368670378679,2067,49.21428571,11817,281.368670378679,0,907,3834,45,1252,943,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
43,16,10.7800899238936,0,230.390881714108,1825,42.289017418554,10070,236.504062429225,0,753,3397,45,905,901,103,725,128,251,317,70,111,70,0.0365426478409478,0.0588973095757162,0.0365426478409478,7,40,44,1.51523121940487,2,0,3,2,7,4,9,0.0582560571690241,0,0.0720083631665377,0.0582560571690241,0.157769031976947,0.101136392074229,0.200649366882152,138,390,221,26,24,116,0,122,87,0,8,0
42,16,11.45238095,0,281.399124450327,2067,49.21428571,11818,281.399124450327,0,908,3834,45,1252,943,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
44,17,11.4927550405817,0,261.485224374378,2070,46.6321439912339,11597,261.485224374378,0,873,3796,48,1129,986,110,795,141,355,411,89,132,89,0.0419046424357273,0.062336915994553,0.0419046424357273,12,77,72,1.85496186328172,1,0,1,1,5,3,7,0.0428144803018056,0,0.0428144803018056,0.0428144803018056,0.128831809314074,0.0858231448003063,0.171840473812575,138,392,222,26,24,118,0,122,87,0,8,0
40,12,13.869824894093,0,307.747651970717,2089,51.9136729211709,12387,307.747651970717,0,1085,4355,44,890,1221,101,769,140,388,384,75,112,75,0.0362565249030085,0.0541829254319253,0.0362565249030085,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.0994085593249125,0.0497042796624563,0.149112838987369,138,395,222,26,27,118,0,123,88,0,8,0
